{'ox': 18003.438859107922, 'red': 2485.8405588605056, 'nh3': 634.6621765397034}
{'ox': 4014.002176469201, 'red': 398597.9299626338, 'nh3': 78145.92221218822}
{'ox': 6111.542566961357, 'red': 403190.5725795141, 'nh3': 91103.95654884413}
{'ox': 7728.539915076657, 'red': 403190.5725795141, 'nh3': 97019.2350406468}
{'ox': 9118.614955501344, 'red': 405521.90903353173, 'nh3': 101235.31184091595}
{'ox': 10380.579581057747, 'red': 407877.0659414082, 'nh3': 104271.71047580047}
{'ox': 11396.564183025326, 'red': 403190.5725795141, 'nh3': 105405.23440959993}
{'ox': 10923.45156659557, 'red': 398597.9299626338, 'nh3': 105405.23440959993}
{'ox': 11538.732284203614, 'red': 398597.9299626338, 'nh3': 106265.99007731781}
{'ox': 12039.291709023852, 'red': 396335.9260867849, 'nh3': 107136.00545698714}
{'ox': 12457.96051633853, 'red': 394096.3468854566, 'nh3': 106844.96226664906}
{'ox': 12920.697367357388, 'red': 398597.9299626338, 'nh3': 108310.69008046605}
{'ox': 13402.95297156584, 'red': 398597.9299626338, 'nh3': 110104.8859133564}
{'ox': 13600.419327362622, 'red': 396335.9260867849, 'nh3': 110104.8859133564}
{'ox': 13812.311111425683, 'red': 394096.3468854566, 'nh3': 109803.12856585736}
{'ox': 14038.885653940808, 'red': 391878.86053845554, 'nh3': 110104.8859133564}
{'ox': 14347.814124962171, 'red': 391878.86053845554, 'nh3': 110407.74709822079}
{'ox': 14442.385554757395, 'red': 387508.87154009944, 'nh3': 109502.46903197127}
{'ox': 14510.094711651895, 'red': 387508.87154009944, 'nh3': 109502.46903197127}
