DEBUG : 2021-06-26 22:04:31,274 I2c loop starts...
DEBUG : 2021-06-26 22:04:31,514 Objects created
DEBUG : 2021-06-26 22:04:31,515 Processes start...
INFO : 2021-06-26 22:04:32,103 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.04, 'p': 1000.1587, 'h': 52.27, 'rt': 26.35}, {'ox': 11456.0, 'red': 488465.0, 'nh3': 92539.0}, 0.95, 0))
INFO : 2021-06-26 22:04:32,320 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.04, 'p': 1000.1565, 'h': 51.9, 'rt': 26.35}, {'ox': 11456.0, 'red': 488465.0, 'nh3': 92539.0}, 21.77, 0))
INFO : 2021-06-26 22:04:32,528 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.04, 'p': 1000.1495, 'h': 52.46, 'rt': 25.0}, {'ox': 11456.0, 'red': 488465.0, 'nh3': 92539.0}, 21.87, 0))
INFO : 2021-06-26 22:04:32,744 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.04, 'p': 1000.1461, 'h': 51.87, 'rt': 26.4}, {'ox': 11456.0, 'red': 488465.0, 'nh3': 92539.0}, 21.93, 0))
INFO : 2021-06-26 22:04:32,948 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.04, 'p': 1000.1416, 'h': 52.64, 'rt': 26.35}, {'ox': 11456.0, 'red': 488465.0, 'nh3': 92419.0}, 21.89, 0))
INFO : 2021-06-26 22:04:33,149 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.05, 'p': 1000.1603, 'h': 52.26, 'rt': 26.35}, {'ox': 11456.0, 'red': 488465.0, 'nh3': 92419.0}, 21.86, 0))
INFO : 2021-06-26 22:04:33,343 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.05, 'p': 1000.1664, 'h': 52.19, 'rt': 26.35}, {'ox': 11448.0, 'red': 488465.0, 'nh3': 92298.0}, 21.89, 0))
INFO : 2021-06-26 22:04:33,542 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.05, 'p': 1000.1669, 'h': 52.41, 'rt': 26.4}, {'ox': 11456.0, 'red': 488465.0, 'nh3': 92298.0}, 21.88, 0))
INFO : 2021-06-26 22:04:33,747 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.05, 'p': 1000.1747, 'h': 52.32, 'rt': 26.35}, {'ox': 11448.0, 'red': 488465.0, 'nh3': 92298.0}, 21.89, 0))
INFO : 2021-06-26 22:04:33,951 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.05, 'p': 1000.162, 'h': 52.3, 'rt': 26.4}, {'ox': 11448.0, 'red': 488465.0, 'nh3': 92178.0}, 21.89, 2))
INFO : 2021-06-26 22:04:34,155 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.05, 'p': 1000.162, 'h': 52.15, 'rt': 26.35}, {'ox': 11448.0, 'red': 488465.0, 'nh3': 92178.0}, 21.87, 0))
