DEBUG : 2021-06-26 22:04:31,310 SPI loop starts...
DEBUG : 2021-06-26 22:04:32,294 SPI objects created
INFO : 2021-06-26 22:04:32,303 ('t', 26.35)
INFO : 2021-06-26 22:04:32,450 ('t', 26.35)
INFO : 2021-06-26 22:04:32,607 ('t', 25.0)
INFO : 2021-06-26 22:04:32,752 ('t', 26.4)
INFO : 2021-06-26 22:04:32,956 ('t', 26.35)
INFO : 2021-06-26 22:04:33,156 ('t', 26.35)
INFO : 2021-06-26 22:04:33,350 ('t', 26.35)
INFO : 2021-06-26 22:04:33,550 ('t', 26.4)
INFO : 2021-06-26 22:04:33,755 ('t', 26.35)
INFO : 2021-06-26 22:04:33,959 ('t', 26.4)
INFO : 2021-06-26 22:04:34,163 ('t', 26.35)
INFO : 2021-06-26 22:04:34,363 ('t', 26.4)
INFO : 2021-06-26 22:04:34,569 ('t', 26.4)
INFO : 2021-06-26 22:04:34,765 ('t', 26.35)
INFO : 2021-06-26 22:04:34,965 ('t', 26.4)
INFO : 2021-06-26 22:04:35,163 ('t', 26.4)
INFO : 2021-06-26 22:04:35,363 ('t', 26.35)
INFO : 2021-06-26 22:04:35,559 ('p', 1000.1567)
INFO : 2021-06-26 22:04:35,750 ('p', 1000.1542)
INFO : 2021-06-26 22:04:35,949 ('p', 1000.1499)
INFO : 2021-06-26 22:04:36,140 ('p', 1000.147)
INFO : 2021-06-26 22:04:36,340 ('p', 1000.1649)
INFO : 2021-06-26 22:04:36,539 ('p', 1000.1747)
INFO : 2021-06-26 22:04:36,731 ('p', 1000.1701)
INFO : 2021-06-26 22:04:36,929 ('p', 1000.1748)
INFO : 2021-06-26 22:04:37,120 ('p', 1000.1722)
INFO : 2021-06-26 22:04:37,319 ('p', 1000.1688)
INFO : 2021-06-26 22:04:37,422 ('sleep', True)
INFO : 2021-06-26 22:04:37,510 ('p', 1000.1766)
INFO : 2021-06-26 22:04:37,709 ('p', 1000.1815)
INFO : 2021-06-26 22:04:37,900 ('p', 1000.1789)
INFO : 2021-06-26 22:04:38,099 ('p', 1000.1831)
INFO : 2021-06-26 22:04:38,290 ('p', 1000.1869)
INFO : 2021-06-26 22:04:38,489 ('p', 1000.1895)
INFO : 2021-06-26 22:04:38,681 ('p', 1000.1916)
INFO : 2021-06-26 22:04:38,879 ('p', 1000.201)
INFO : 2021-06-26 22:04:39,070 ('p', 1000.2014)
INFO : 2021-06-26 22:04:39,271 ('p', 1000.2047)
INFO : 2021-06-26 22:04:39,433 ('sleep', False)
INFO : 2021-06-26 22:04:39,483 ('p', 1000.2127)
INFO : 2021-06-26 22:04:39,684 ('p', 1000.2208)
INFO : 2021-06-26 22:04:39,879 ('p', 1000.2269)
INFO : 2021-06-26 22:04:40,070 ('p', 1000.2155)
INFO : 2021-06-26 22:04:40,271 ('p', 1000.2118)
INFO : 2021-06-26 22:04:40,469 ('p', 1000.2096)
INFO : 2021-06-26 22:04:40,661 ('p', 1000.2146)
INFO : 2021-06-26 22:04:40,859 ('p', 1000.2078)
INFO : 2021-06-26 22:04:41,051 ('p', 1000.2057)
INFO : 2021-06-26 22:04:41,249 ('p', 1000.2092)
INFO : 2021-06-26 22:04:41,440 ('p', 1000.213)
INFO : 2021-06-26 22:04:41,643 ('p', 1000.2047)
